coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
elastic,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,64558,-0.344,0.019,0.302,0.4,-0.11,1.648,0.002,-0.018
heat,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
icoo,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xaurum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,36,0,N/A,N/A,N/A,0.0,3753,0.28,0.157,2.499,2.598,-0.254,-1.265,0.007,-0.007
stratis,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,48504,0.199,0.159,2.53,2.639,-0.005,-2.095,0.013,-0.025
breakoutcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
waves,N/A,N/A,N/A,N/A,12,saas,1,N/A,N/A,N/A,N/A,N/A,0,128098,N/A,N/A,0.0,83734,-0.286,-0.152,-2.405,-2.301,-0.009,-3.644,0.005,-0.025
rise,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,42224,0.183,0.028,0.451,0.63,0.119,19.375,0.015,0.021
plutus,30 Jun 2016,8 Jul 2016,8.0,706.0,5,saas,12,1000000.0,N/A,N/A,N/A,N/A,0,2920,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
mycelium(2ndround),N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
thedao,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
projectdecorum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ionomy,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
digixglobal,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,13886,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lisk,N/A,N/A,N/A,N/A,5,other,5,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,222502,0.102,0.147,2.326,2.36,-0.075,-2.318,0.012,-0.019
obits,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,606,0.118,0.083,1.325,1.384,0.056,-4.269,0.009,-0.014
spellsofgenesis,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
factom,N/A,N/A,N/A,N/A,1,other,4,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,29947,-0.054,-0.055,-0.867,-0.74,-0.074,5.728,0.009,-0.019
neucoin,17 Nov 2017,17 Dec 2017,30.0,179.0,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,17457,-0.402,-0.104,-1.649,-1.427,0.876,-17.536,0.1,0.006
dacplay,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
getgems,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2821,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
muse,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,12,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
supernet,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,40814,0.315,0.545,1.09,1.258,-0.438,-3.972,0.004,0.005
ethereum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,3,0,N/A,N/A,N/A,0.0,164329,-0.01,-0.059,-0.944,-0.916,0.007,-0.273,0.008,-0.01
storjcoinx,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
swarm,N/A,N/A,N/A,N/A,1,other,10,5370258.0,53702580.0,0.1,27.42,3673,0,N/A,N/A,N/A,-0.999,228,-0.122,0.061,0.976,0.996,0.392,20.926,0.053,0.388
maidsafecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,21809,-0.022,0.049,0.77,0.815,-0.093,-1.505,0.005,-0.02
counterparty,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,42170,0.063,-0.068,-1.081,-1.051,-0.028,-0.479,0.005,0.0
