coin,start1,end1,duration1,age1,start3,end3,duration3,age3,start4,end4,duration4,age4,start5,end5,duration5,age5,country1,country2,country3,country5,industry1,industry2,industry4,team1,team2,team3,team4,team5,raised1,raised2,raised4,raised5,hardcap1,hardcap2,hardcap4,hardcap5,success1,success2,success4,price1,price2,price4,price5,telegram1,telegram2,telegram4,N_google_news,N_twitter,hype4,risk4,ret_day1,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
stuffgogo,12 Aug 2017,8 Sep 2017,27.0,279.0,12 Aug 2017,11 Sep 2017,30.0,276.0,N/A,N/A,N/A,N/A,12Aug2017,08Sept2017,N/A,N/A,usa,N/A,mauritius,usa,platform,N/A,N/A,1,N/A,5,N/A,3,23975.0,N/A,N/A,239752.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,57,1,4072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
prospector,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
onegram,27 May 2017,24 Sep 2017,120.0,263.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27May2017,24Sept2017,N/A,N/A,united arab emirates,N/A,N/A,unitedarabemirates,cryptocurrency,N/A,N/A,10,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.22,N/A,N/A,41.66,N/A,N/A,N/A,N/A,N/A,N/A,3,1299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
filecoin,10 Aug 2017,10 Sep 2017,31.0,277.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10Aug2017,10Sept2017,N/A,N/A,usa,N/A,N/A,usa,platform,cloud storage,N/A,12,N/A,N/A,N/A,13,25700000.0,257000000.0,N/A,257000000.0,N/A,40000000.0,N/A,N/A,1.0,6.42,N/A,0.75,5.0,N/A,N/A,N/A,N/A,N/A,40,22551,N/A,N/A,11.5,296217,0.236,0.134,2.133,2.091,-0.162,-1.662,0.0,0.002
alpencoin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hubii,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"norway, us, singapore",N/A,N/A,N/A,marketplace,N/A,N/A,2,N/A,N/A,N/A,N/A,7130256.0,N/A,N/A,N/A,50000000.0,N/A,N/A,N/A,0.14,N/A,N/A,0.33,N/A,N/A,N/A,1278,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
worldwideanonymousmessaging,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
indorse,8 Aug 2017,8 Sep 2017,31.0,279.0,08 Aug 2017,08 Sep 2017,31.0,279.0,06 Aug 2017,05 Sep 2017,30.0,282.0,08Aug2017,08Sept2017,N/A,N/A,singapore,singapore,singapore,singapore,internet,blockchain service,socialmedia&communication,21,10,8,15,19,10000000.0,9247392.0,10000000.0,10000000.0,N/A,15000000.0,N/A,N/A,N/A,0.62,N/A,0.31,0.33,0.03,N/A,N/A,12563,N/A,0,804,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
finshicapital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
moeda,28 Jul 2017,28 Aug 2017,31.0,290.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28July2017,28Aug2017,N/A,N/A,brazil,N/A,N/A,brazil,business services,N/A,N/A,8,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0,N/A,N/A,N/A,2747,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xplay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.239,204,-0.176,-1.4,-2.8,-2.834,0.034,-0.573,-0.024,-0.025
corion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.791,18358,0.091,0.05,0.792,0.907,-0.323,-5.279,-0.002,-0.019
paquarium,20 Jul 2017,24 Aug 2017,35.0,294.0,20 Jul 2017,24 Aug 2017,35.0,294.0,N/A,N/A,N/A,N/A,20July2017,24Aug2017,N/A,N/A,latvia,N/A,estonia,latvia,other,N/A,N/A,9,N/A,8,N/A,10,61980.0,N/A,N/A,619807.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
