coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
crown,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,92,0.13,0.01,0.24,0.24,0.377,-1.0,0.078,-0.01
credo,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,20398,0.14,0.08,1.22,1.22,0.31,-16.5,0.033,0.073
prochain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2150570,0.08,0.06,0.91,0.91,-0.14,-1.0,0.002,-0.022
exrnchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,32400,0.02,0.21,3.33,3.33,0.595,27.5,0.074,0.167
spacechain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,74,0,N/A,N/A,N/A,0.0,11129000,-0.11,-0.09,-1.35,-1.35,-0.126,6.5,-0.008,0.027
hexx,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1121,0.26,0.14,2.29,2.29,-5.326,4.0,0.498,-0.005
pascal coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dadi,29 Jan 2018,29 Jan 2018,0.0,121.0,4,fintech,15,29000000.0,29000000.0,1.0,0.5,22351,0,30578,N/A,N/A,-0.112,2381560,-0.21,-0.05,-0.8,-0.8,0.03,-3.5,-0.006,0.008
leocoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,49750,0.01,0.06,0.89,0.89,-0.17,2.0,0.006,-0.018
atmchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
shield,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,558234,-0.08,0.1,1.52,1.52,0.601,-4.5,0.033,-0.055
pepe cash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
monetha,31 Aug 2017,31 Aug 2017,0.0,272.0,5,fintech,11,35910000.0,35900000.0,1.0,0.19,4573,0,18917,N/A,N/A,0.502,2743890,-0.15,-0.11,-1.76,-1.76,-0.165,-4.5,0.003,-0.008
blackcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,21446,0.23,0.26,4.14,4.14,-0.106,0.0,0.007,-0.015
polybius,31 May 2017,30 Jun 2017,30.0,334.0,5,fintech,11,62956169.0,100000000.0,0.63,10.0,3562,0,9,N/A,N/A,-0.192,506294,-0.02,0.07,1.03,1.03,-0.365,-4.5,0.006,0.012
bitqy,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,10844,0.02,0.15,2.44,2.44,0.436,25.5,0.029,0.067
muse,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,12,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dmarket,14 Nov 2017,01 Dec 2017,17.0,180.0,2,entertainment,4,19026768.0,53300000.0,0.36,0.63,3437,0,7205,N/A,N/A,0.542,18992,-0.03,0.06,1.02,1.02,0.14,-3.0,0.008,-0.01
ai doctor,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
boolberry,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1226,-0.39,-0.18,-2.93,-2.93,-0.016,-2.5,0.012,-0.015
alqo,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,90795,0.13,0.29,4.58,4.58,0.138,0.5,0.019,0.002
matchpool,2 Apr 2017,4 Apr 2017,2.0,421.0,12,saas,7,5800000.0,N/A,N/A,0.1,2231,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gridcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,798,-0.13,-0.04,-0.6,-0.6,0.015,-1.5,0.007,0.008
chronobank,15 Dec 2016,15 Feb 2017,62.0,469.0,2,saas,1,5400000.0,N/A,N/A,10.0,N/A,0,19821,N/A,N/A,-0.06,42133,-0.26,0.03,0.44,0.44,-0.153,-68.5,0.007,0.18
morpheus network,22 Mar 2018,22 Apr 2018,31.0,38.0,12,other,23,7500000.0,18000000.0,0.42,N/A,11805,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hi mutual soc...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
restart energ...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blocktix,7 Jul 2017,25 Jul 2017,18.0,309.0,5,entertainment,7,6981328.0,7500000.0,0.93,0.24,N/A,0,5963,N/A,N/A,-0.174,11878,0.29,0.07,1.17,1.17,0.052,-5.0,0.019,-0.003
agrello,16 Jul 2017,17 Aug 2017,32.0,286.0,5,saas,13,30100000.0,43200000.0,0.7,0.56,4818,0,14767,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uptoken,16 Oct 2017,15 Dec 2017,60.0,166.0,1,fintech,9,18934021.0,35000000.0,0.54,0.1,20,0,3008,N/A,N/A,2.021,21597500,-0.43,-0.08,-1.21,-1.21,0.824,-3.5,-0.011,-0.02
bitcoin atom,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hempcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,1539,0,N/A,N/A,N/A,0.0,19,0.26,0.16,2.58,2.58,-0.039,-9.5,0.027,-0.02
mediccoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,118,0.11,0.13,2.04,2.04,-28.024,3.0,2.708,-0.027
nework,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4777680,0.12,-0.05,-0.83,-0.83,-0.371,-15.5,0.009,0.007
aeron,19 Sep 2017,30 Oct 2017,41.0,212.0,10,transportation,11,4897723.0,30000000.0,0.16,0.5,19802,0,29756,N/A,N/A,-0.189,8757,0.13,0.16,2.58,2.58,0.118,-7.5,0.029,-0.037
deviantcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,20697,0.55,4.33,8.67,8.67,0.177,-2.5,0.047,0.06
i/o coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitusd,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3784,-0.03,0.02,0.29,0.29,-0.039,-0.5,0.002,-0.008
dimcoin,1 Jul 2017,27 Aug 2017,57.0,276.0,11,fintech,20,14005746.0,13500000.0,1.0,0.01,3069,0,N/A,N/A,N/A,23.562,1409400,-0.49,-0.22,-3.44,-3.44,0.116,-1.5,-0.007,-0.023
blackmoon,12 Sep 2017,12 Oct 2017,30.0,230.0,12,blockchain,14,30000000.0,30000000.0,1.0,1.1,3524,0,6402,N/A,N/A,-0.235,592273,0.01,-0.11,-1.71,-1.71,-0.089,-7.0,0.004,-0.008
omni,N/A,N/A,N/A,N/A,12,blockchain,N/A,6829609.0,25000000.0,0.27,0.46,25521,0,N/A,N/A,N/A,231.957,0.0,0.02,-0.01,-0.21,-0.21,0.006,-3.5,0.008,-0.005
lala world,5 Jan 2018,5 Feb 2018,31.0,114.0,7,saas,12,20000000.0,N/A,N/A,0.13,828,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
incent,1 Sep 2016,1 Sep 2016,0.0,636.0,9,blockchain,7,1000000.0,N/A,N/A,0.1,N/A,0,13200,N/A,N/A,-0.918,43,0.22,0.14,2.19,2.19,-0.028,0.5,0.031,-0.018
sharder,22 Feb 2018,22 Mar 2018,28.0,69.0,12,saas,N/A,5398600.0,5400000.0,1.0,0.0446,10705,0,N/A,N/A,N/A,1.284,3209300,-0.17,-1.36,-2.71,-2.71,-0.492,-3.0,-0.015,-0.017
cappasity,22 Feb 2018,22 Mar 2018,28.0,69.0,1,saas,5,2301451.0,20000000.0,0.12,0.01,59213,0,28133,N/A,N/A,2.315,887638,0.12,0.17,2.68,2.68,0.471,-3.0,0.014,0.01
paccoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,78,0,N/A,N/A,N/A,0.0,47,-0.02,0.09,1.42,1.42,-16.68,0.5,0.556,-0.002
moeda loyalty...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
covesting,24 Nov 2017,15 Jan 2018,52.0,135.0,7,saas,12,18750000.0,18800000.0,1.0,2.56,8933,0,10073,N/A,N/A,0.207,328108,-0.21,-0.12,-1.95,-1.95,-0.245,-4.5,-0.005,-0.008
diamond,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,18,0,N/A,N/A,N/A,0.0,0.0,0.19,0.08,1.3,1.3,-0.243,-3.5,0.008,-0.015
ormeus coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
selfkey,14 Jan 2018,14 Jan 2018,0.0,136.0,7,fintech,48,21776392.0,21800000.0,1.0,0.02,11371,0,0,N/A,N/A,2.327,31248100,-0.52,-0.26,-4.06,-4.06,-0.26,-2.5,-0.014,-0.013
florincoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,0.32,0.17,2.66,2.66,-0.078,-4.5,0.013,-0.015
oneroot network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oax,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,49180,0.54,0.11,1.79,1.79,-0.108,-1.5,0.009,-0.005
envion,15 Dec 2017,14 Jan 2018,30.0,136.0,6,blockchain,12,100000000.0,150000000.0,0.67,1.0,22417,0,21256,N/A,N/A,-0.036,168394,-0.22,-0.13,-2.0,-2.0,-0.295,-4.0,-0.015,-0.007
bismuth,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,100579,0.11,0.11,1.77,1.77,-0.103,-1.0,0.015,0.007
aphelion,15 Nov 2017,7 Dec 2017,22.0,174.0,12,fintech,12,4780661.0,6700000.0,0.71,0.2,14220,0,14371,N/A,N/A,0.456,63598,0.25,1.96,3.93,3.93,-0.191,-7.0,0.023,-0.022
aichain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,949705,-0.21,-0.19,-3.08,-3.08,-0.173,-0.5,-0.006,-0.028
swarm,N/A,N/A,N/A,N/A,1,other,10,5370258.0,55000000.0,0.1,27.42,2707,0,N/A,N/A,N/A,-0.999,228,-0.12,0.06,0.93,0.93,-0.627,44.5,0.057,0.487
measurable da...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
radium,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,1577,0,N/A,N/A,N/A,0.0,2668,0.23,0.27,4.29,4.29,-0.131,0.0,0.014,-0.018
monetaryunit,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,13,0.23,0.11,1.74,1.74,0.015,-2.5,0.032,-0.01
blockport,27 Jan 2018,31 Jan 2018,4.0,123.0,12,fintech,N/A,15000000.0,15000000.0,1.0,0.35,28410,0,N/A,N/A,N/A,0.25,1024180,-0.0,0.07,1.04,1.04,-0.187,4.5,0.002,-0.017
indahash,29 Nov 2017,20 Dec 2017,21.0,161.0,5,saas,15,42715825.0,67000000.0,0.64,0.24,11757,0,9840,N/A,N/A,1.561,3113160,-0.2,-0.11,-1.73,-1.73,-0.33,-11.0,-0.013,-0.032
echolink,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,59352,0,N/A,N/A,N/A,0.0,14911900,-0.04,-0.09,-1.35,-1.35,0.197,-7.5,-0.003,-0.01
latoken,22 Aug 2017,10 Oct 2017,49.0,232.0,7,fintech,35,18880673.0,40000000.0,0.47,0.3,5543,0,7965,N/A,N/A,-0.058,163778,-0.05,0.11,1.73,1.73,-0.046,-1.5,0.006,-0.013
carvertical,26 Dec 2017,4 Apr 2018,99.0,56.0,5,saas,20,19911150.0,19900000.0,1.0,0.0055,13406,0,N/A,N/A,N/A,1.65,451064,-0.05,-0.07,-1.18,-1.18,-0.735,-4.0,-0.009,-0.022
revolutionvr,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,162143,-0.3,-0.1,-1.66,-1.66,0.081,-3.5,0.005,-0.005
gincoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,135113,1.16,2.02,4.03,4.03,-0.25,-4.0,0.017,0.015
hydrogen,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,130253,0.35,2.82,5.63,5.63,-1.066,-11.5,0.082,-0.023
uquid coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
shipchain,N/A,N/A,N/A,N/A,12,other,29,30000000.0,30000000.0,1.0,0.34,30253,0,130,N/A,N/A,-0.16,49895,-0.41,-0.07,-1.13,-1.13,-0.414,-22.5,-0.009,0.005
numeraire,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4354180,0.08,0.08,1.28,1.28,-0.108,-6.5,0.004,-0.01
flash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2437,-0.03,0.05,0.72,0.72,0.127,-5.5,0.015,-0.04
tao,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,205,-0.01,0.08,1.29,1.29,0.508,-12.0,0.044,-0.058
e-dinar coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
stronghands,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,628,0.38,0.01,0.2,0.2,-0.371,-14.5,0.068,0.01
coinpoker,19 Jan 2018,26 Jan 2018,7.0,124.0,7,entertainment,15,52712179.0,N/A,N/A,0.05,4810,0,5184,N/A,N/A,0.95,350963,-0.38,-0.01,-0.18,-0.18,-0.522,3.0,-0.004,-0.07
oxycoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,95485,0.0,0.09,1.47,1.47,-0.016,-3.0,0.01,-0.005
mooncoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1754,0.35,0.13,2.06,2.06,-0.193,-6.5,0.073,-0.045
hacken,31 Oct 2017,30 Nov 2017,30.0,181.0,2,blockchain,8,70000002.0,N/A,N/A,1.0,1934,0,9025,N/A,N/A,5.77,320959,0.16,0.07,1.05,1.05,0.108,-5.5,0.008,-0.01
playkey,1 Nov 2017,1 Dec 2017,30.0,180.0,2,entertainment,16,10512361.0,105600000.0,0.1,1.76,9861,0,9498,N/A,N/A,-0.682,9317,0.43,0.13,2.14,2.14,-0.202,3.0,0.012,0.018
swissborg,7 Dec 2017,10 Jan 2018,34.0,140.0,6,blockchain,13,50000000.0,50000000.0,1.0,0.1,4764,0,11157,N/A,N/A,0.028,115322,-0.35,-0.18,-2.92,-2.92,-0.21,0.0,-0.011,-0.013
solarcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1988,-0.07,0.02,0.37,0.37,-0.056,-4.0,0.013,-0.007
nolimitcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1086,-0.16,0.07,1.08,1.08,-0.101,-1.5,0.03,0.008
te-food,22 Feb 2018,22 Mar 2018,28.0,69.0,6,fintech,19,19100000.0,19100000.0,1.0,0.05,10484,0,9925,N/A,N/A,-0.448,302268,-0.04,0.09,1.4,1.4,-0.191,0.0,0.002,-0.007
bitclave,29 Nov 2017,29 Nov 2017,0.0,182.0,1,saas,19,25547000.0,25500000.0,1.0,0.1,10765,0,22610,N/A,N/A,0.505,957302,0.12,-0.01,-0.23,-0.23,-0.006,-2.5,-0.003,-0.015
rubycoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,270,0.22,0.16,2.49,2.49,0.101,-3.0,0.014,-0.005
linda,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,257,0,N/A,N/A,N/A,0.0,9656,0.35,0.23,3.71,3.71,-0.425,0.0,0.035,0.007
luxcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,42049,0.04,0.21,3.32,3.32,0.049,-7.0,0.016,0.005
mark.space,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rialto,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,51162,0.27,0.2,3.11,3.11,-0.155,6.5,0.013,-0.007
sibcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,15,0.03,0.1,1.55,1.55,-0.153,-3.0,0.011,-0.025
expanse,N/A,N/A,N/A,N/A,12,other,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3473,-0.06,-0.08,-1.31,-1.31,-0.13,-5.0,0.034,-0.017
divi,25 Oct 2017,21 Nov 2017,27.0,190.0,12,other,15,2592064.0,2000000.0,1.0,0.62,2211,0,N/A,N/A,N/A,0.365,56068,0.17,0.24,3.82,3.82,-0.198,-5.5,0.013,-0.025
sureremit,10 Jan 2018,10 Feb 2018,31.0,109.0,1,saas,11,10000000.0,10000000.0,1.0,1.0,2039,0,4413,N/A,N/A,-0.963,35294,-0.22,0.02,0.31,0.31,-0.555,-6.0,0.003,-0.015
quantum,15 Apr 2017,15 May 2017,30.0,380.0,5,blockchain,5,4122700.0,N/A,N/A,0.05,N/A,0,9250,N/A,N/A,5.732,136233,0.19,0.06,0.93,0.93,-0.076,-8.5,0.005,0.008
olympus labs,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neumark,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,351032,0.35,0.12,1.96,1.96,-0.05,-7.5,0.007,-0.005
databits,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,87,0.47,0.31,4.88,4.88,-0.151,-4.0,0.01,-0.018
vericoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,19234,0.35,0.23,3.69,3.69,-0.105,8.0,0.013,-0.052
rebl,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1072350,-0.18,-0.12,-1.98,-1.98,0.134,-1.0,-0.003,-0.027
graft,18 Jan 2018,18 Feb 2018,31.0,101.0,1,blockchain,15,3000000.0,25000000.0,0.12,0.28,5382,0,2549,N/A,N/A,-0.846,40067,-0.3,-0.0,-0.06,-0.06,0.226,3.5,0.008,0.01
polis,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,355546,0.09,0.01,0.1,0.1,-0.382,-3.0,-0.001,-0.008
remme,13 Feb 2018,22 Feb 2018,9.0,97.0,7,saas,20,20000000.0,17500000.0,1.0,0.04,16576,0,5721,N/A,N/A,-0.209,587552,-0.34,-0.0,-0.05,-0.05,0.058,-6.5,-0.001,-0.01
axpire,8 Jan 2018,12 Jan 2018,4.0,138.0,1,other,15,20000000.0,20000000.0,1.0,0.1,8074,0,6405,N/A,N/A,0.324,292608,-0.23,-0.15,-2.36,-2.36,-0.594,-2.5,-0.008,-0.01
etheroll,13 Feb 2017,27 Feb 2017,14.0,457.0,12,other,N/A,36349723.0,N/A,N/A,0.07,N/A,0,2140,N/A,N/A,15.857,33962,0.21,0.13,2.02,2.02,-4.537,-8.0,2.595,0.017
matryx,13 Sep 2017,12 Oct 2017,29.0,230.0,1,saas,15,1984347.0,9000000.0,0.22,0.29,1546,0,110,N/A,N/A,1.498,1031,0.21,0.11,1.8,1.8,-0.212,-2.5,0.02,-0.007
maecenas,7 Sep 2017,8 Oct 2017,31.0,234.0,4,saas,8,15375432.0,18900000.0,0.81,0.64,949,0,2254,N/A,N/A,-0.279,11868,0.09,0.17,2.68,2.68,-0.23,-18.5,0.022,-0.02
banyan network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
locktrip,29 Oct 2017,30 Nov 2017,32.0,181.0,5,other,20,4000000.0,N/A,N/A,0.55,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lomocoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,24527,-0.03,0.04,0.6,0.6,-0.133,-2.0,0.026,-0.002
nebula ai,31 Mar 2018,20 Apr 2018,20.0,40.0,1,other,20,6000000.0,N/A,N/A,N/A,5585,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
russian miner...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
heronode,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,551160,-1.39,-2.4,-4.8,-4.8,-0.584,-9.0,-0.022,-0.013
paragon,15 Sep 2017,15 Oct 2017,30.0,227.0,1,other,12,6000000.0,100000000.0,0.06,1.0,3848,0,N/A,N/A,N/A,-0.35,284896,-0.16,0.01,0.14,0.14,-0.167,1.0,0.0,0.02
bitsend,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4409,0.15,0.14,2.16,2.16,0.14,-3.0,0.052,-0.003
rentberry,5 Dec 2017,28 Feb 2018,85.0,91.0,7,real estate,25,27500000.0,30000000.0,0.92,0.35,14895,0,19997,N/A,N/A,-0.806,294933,0.23,1.86,3.71,3.71,-0.403,-7.5,0.008,-0.025
newyorkcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,66,0.25,0.12,1.98,1.98,3.94,8.5,0.393,-0.003
rivetz,10 Aug 2017,10 Sep 2017,31.0,262.0,1,saas,16,18653920.0,20000000.0,0.93,0.89,1590,0,9722,N/A,N/A,-0.446,31436,-0.0,-0.04,-0.59,-0.59,-0.004,-6.0,0.007,-0.01
pareto network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
smartlands,2 Nov 2017,20 Nov 2017,18.0,191.0,12,fintech,11,1753698.0,25000000.0,0.07,1.0,1688,0,1949,N/A,N/A,-0.803,102013,0.24,0.16,2.52,2.52,0.216,1.0,0.048,-0.025
fluz fluz,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
icos,15 Aug 2017,15 Sep 2017,31.0,257.0,2,blockchain,23,14600000.0,N/A,N/A,44.38,1828,0,5000,N/A,N/A,0.034,15683,0.1,0.05,0.76,0.76,-0.18,-2.0,0.003,-0.002
domraider,12 Sep 2017,9 Oct 2017,27.0,233.0,5,saas,33,67200000.0,67200000.0,1.0,0.12,374,0,150,N/A,N/A,-0.461,13888,0.02,0.09,1.36,1.36,-0.034,-2.0,0.006,-0.023
polyswarm,20 Feb 2018,22 Mar 2018,30.0,69.0,1,saas,7,25940000.0,50000000.0,0.52,0.0165,7754,0,17,N/A,N/A,-0.643,25413,0.41,3.28,6.56,6.56,0.007,-3.5,0.012,-0.023
