name,age,price,hardcap,social,daily_views,daily_time,success
tierion,483.0,0.071,25000000.0,4536,1.6,107.0,1
wings,686.0,0.0288,2274875.0,38512,1.0,75.0,1
peculium,57.0,0.01,9917634.0,9590,2.0,127.0,1
wono,86.0,0.5,20740280.0,18948,1.6,113.0,0
usechain,102.0,0.0052,29325735.0,45228,1.4,87.0,1
zeex,140.0,0.041,12661825.0,15652,1.3,94.0,1
streamity,109.0,0.2,20000000.0,9583,1.3,93.0,0
qurrex,146.0,1.088,44714286.0,2388,2.2,120.0,0
shivom,197.0,0.109,35000000.0,36828,1.7,91.0,1
multiversum,152.0,1.0,35087328.0,84374,2.9,251.0,1
boatpilot,207.0,0.07,9853380.0,102,1.0,74.0,1
sapien,234.0,0.1417,30003294.0,15592,4.3,433.0,0
patron,198.0,0.5,40000000.0,8495,1.0,100.0,1
bitguild,232.0,0.0047,16516785.0,8748,1.4,75.0,0
moxyone,222.0,0.5,21428571.0,19319,1.0,67.0,0
vestarin,233.0,0.2079,13209677.0,16433,4.0,135.0,0
friendz,248.0,0.0427,32005814.0,47957,3.0,149.0,1
polyswarm,246.0,0.0179,49884615.0,5524,2.2,149.0,1
fintrux,268.0,0.5666,24963691.0,8518,2.5,140.0,1
arcblock,293.0,0.48,45833333.0,28687,1.9,134.0,0
vinchain,222.0,0.025,12431265.0,12419,3.1,312.0,1
experty,271.0,0.829,8774682.0,10339,1.9,123.0,0
parkgene,249.0,0.1,34764286.0,4819,2.3,186.0,1
scorum,285.0,1.0,17060606.0,8571,1.2,131.0,0
travelchain,256.0,0.023,10166562.0,1373,1.9,302.0,0
telcoin,328.0,0.001,25000000.0,17726,1.2,115.0,1
gameflip,298.0,5.85,15000000.0,586,2.77,250.0,1
nau,329.0,0.06,20145062.0,62497,1.0,128.0,1
starbase,364.0,0.1,10047727.0,18517,2.0,149.0,1
sense,367.0,0.1,15000000.0,2741,1.0,44.0,1
crowdholding,316.0,1.18,2000000.0,2978,2.9,191.0,1
eloplay,373.0,0.0331,8576500.0,341,1.7,156.0,0
qvolta,399.0,0.3031,4560325.0,1397,2.0,135.0,0
goldmint,377.0,7.0,40797876.0,9643,2.1,179.0,0
taas,574.0,1.0,10135135.0,11788,1.2,112.0,1
dbrain,145.0,2.0,20833333.0,6342,1.6,157.0,0
real,419.0,1.3762,33139284.0,1529,1.0,31.0,0
decent,747.0,0.1424,24137000.0,29641,3.0,176.0,1
sp8de,257.0,0.0069,4903300.0,3825,3.0,221.0,0
alethena,149.0,0.01,306842.0,621,2.0,120.0,0
cryptocurve,17.0,0.2,31707317.0,12838,1.7,125.0,0
gamb,84.0,0.0121,14909091.0,75271,1.6,125.0,1
icovo,7.0,0.3,7062283.0,18528,1.1,63.0,0
yumerium,44.0,0.072,20000007.0,12402,2.0,154.0,0
qiibee,30.0,0.0205,11280000.0,96539,1.6,167.0,1
citicash,23.0,0.15,19641436.0,4070,2.5,76.0,1
cryptoads,132.0,1.0,29367027.0,2494,1.0,100.0,0
dacc,139.0,0.0022,14092712.0,49648,1.0,97.0,1
arweave,167.0,0.73,8700000.0,20373,2.0,103.0,1
ubex,54.0,0.0023,6802725.0,82823,2.0,197.0,1
verasity,135.0,0.0106,24872517.0,38319,1.9,221.0,1
gochain,200.0,0.0,13685000.0,10542,1.6,161.0,1
befund,160.0,0.05,25000000.0,60723,2.0,211.0,0
blockhive,146.0,0.051,639600.0,2142,2.0,70.0,0
databrokerdao,181.0,0.2785,29537817.0,7858,2.0,182.0,0
cosmochain,187.0,0.068,35870968.0,17004,2.0,76.0,1
robet,186.0,12.346,21118480.0,428,1.0,67.0,0
well,146.0,0.1,27777778.0,12179,2.2,140.0,1
iconiqlab,177.0,1.23,18073469.0,24373,2.2,136.0,0
cloudmoolah,207.0,0.3,30000000.0,12556,1.0,67.0,1
neurochain,222.0,0.116,25000000.0,11281,2.0,132.0,1
giftcoin,218.0,0.1,10000000.0,2565,1.0,104.0,1
gifcoin,163.0,0.049,5000000.0,4102,2.7,162.0,1
sunmoney,207.0,4.5571,22222222.0,5398,1.0,55.0,0
invacio,207.0,0.3,65574.0,1074,1.0,112.0,1
skraps,253.0,0.45,21315882.0,9875,2.4,181.0,0
taylor,246.0,0.3928,3492631.0,3933,1.0,77.0,0
thrive,232.0,0.28,26000000.0,23479,2.0,180.0,1
