coin,bloxverse_yr,bloxverse_sa,bloxverse_qr,icorating_hype,icorating_risk,icobazaar,icomarks,icobench,success,return_day1,volume_day1,sharpe_annual
multiversum,0.84,0.66,0.48,0.9,0.5,0.76,0.96,0.68,0.61,-1.0,0.0,-100.0
boatpilot,0.62,0.44,0.32,0.5,0.5,N/A,0.73,N/A,0.51,-1.0,0.0,-100.0
sapien,0.74,0.74,0.52,0.7,0.5,N/A,N/A,N/A,0.35,-0.955,35054.0,-1.632
patron,0.76,0.68,0.34,0.5,0.5,N/A,N/A,0.6,1.0,-0.864,933787.0,-0.067
bitguild,0.92,0.7,0.48,0.5,0.5,N/A,0.8,N/A,0.13,-1.0,0.0,-100.0
moxyone,0.82,0.72,0.46,0.5,0.3,N/A,0.86,0.62,0.07,-1.0,0.0,-100.0
friendz,0.78,0.74,0.72,0.7,0.3,N/A,N/A,N/A,0.86,-1.0,0.0,-100.0
polyswarm,0.9,0.8,0.78,0.5,0.3,N/A,N/A,N/A,0.52,-0.671,25413.0,0.729
arcblock,0.88,0.82,0.8,0.7,0.5,N/A,N/A,0.66,0.24,1.646,94865600.0,1.083
vinchain,0.8,0.64,0.36,0.5,0.3,N/A,N/A,N/A,0.54,-1.0,0.0,-100.0
experty,0.92,0.74,0.8,0.5,0.3,0.74,N/A,N/A,0.17,-0.206,1742640.0,-1.885
parkgene,0.88,0.74,0.84,0.5,0.3,N/A,N/A,0.66,0.7,-0.874,58791.0,-1.024
gameflip,0.7,0.52,0.54,0.7,0.5,N/A,N/A,0.68,1.0,-1.0,0.0,-100.0
crowdholding,0.72,0.66,0.64,0.7,0.3,N/A,0.83,0.68,1.0,-0.998,76499.0,0.024
dbrain,0.92,0.82,0.74,0.5,0.5,0.86,0.9,0.62,0.12,-1.0,0.0,-100.0
alethena,0.74,0.54,0.28,0.3,0.5,N/A,0.74,0.66,0.19,-1.0,0.0,-100.0
cryptocurve,0.94,0.88,0.34,0.5,0.7,N/A,0.84,N/A,0.41,-1.0,0.0,-100.0
gamb,0.8,0.68,0.32,0.7,0.7,N/A,0.9,N/A,0.55,-1.0,0.0,-100.0
yumerium,0.92,0.9,0.26,0.5,0.5,N/A,0.87,N/A,0.15,-1.0,0.0,-100.0
qiibee,0.78,0.62,0.32,0.7,0.3,N/A,0.86,N/A,0.75,-1.0,0.0,-100.0
citicash,0.88,0.68,0.3,0.3,0.5,N/A,0.84,0.6,0.66,-1.0,0.0,-100.0
cryptoads,0.76,0.64,0.34,0.5,0.7,N/A,0.57,N/A,0.11,-1.0,0.0,-100.0
dacc,0.84,0.82,0.32,0.7,0.5,N/A,N/A,N/A,0.96,-1.0,0.0,-100.0
arweave,0.8,0.72,0.44,0.5,0.5,N/A,0.75,0.56,1.0,-1.0,0.0,-100.0
verasity,0.82,0.72,0.34,0.7,0.5,N/A,0.77,N/A,0.77,-1.0,0.0,-100.0
gochain,0.78,0.7,0.5,0.7,0.5,N/A,0.89,N/A,1.0,-1.0,0.0,-100.0
befund,0.86,0.84,0.54,0.5,0.5,0.76,0.76,N/A,0.12,-1.0,0.0,-100.0
blockhive,0.92,0.8,0.4,0.5,0.5,N/A,0.65,N/A,0.05,-1.0,0.0,-100.0
databrokerdao,0.84,0.8,0.34,N/A,N/A,N/A,N/A,N/A,0.12,-1.0,0.0,-100.0
cosmochain,0.76,0.7,0.46,0.5,0.3,N/A,N/A,N/A,0.93,-1.0,0.0,-100.0
robet,0.66,0.5,0.28,0.3,N/A,N/A,0.58,0.6,0.1,-1.0,0.0,-100.0
well,0.94,0.86,0.76,0.7,0.5,N/A,N/A,N/A,0.54,-1.0,0.0,-100.0
iconiqlab,0.7,0.62,0.36,0.9,0.5,N/A,N/A,N/A,0.49,-1.0,0.0,-100.0
cloudmoolah,0.86,0.76,0.54,0.5,0.5,N/A,0.76,N/A,0.5,-1.0,0.0,-100.0
neurochain,0.86,0.76,0.62,0.5,0.3,N/A,N/A,N/A,1.0,-0.785,176867.0,-0.956
giftcoin,0.9,0.9,0.68,0.5,0.5,N/A,0.77,N/A,1.0,-1.0,0.0,-100.0
gifcoin,0.78,0.7,0.48,0.5,N/A,N/A,0.77,N/A,0.56,-1.0,0.0,-100.0
sunmoney,0.74,0.56,0.28,0.5,0.5,N/A,0.75,0.62,0.18,-1.0,0.0,-100.0
invacio,0.76,0.78,0.42,0.3,0.5,N/A,N/A,0.54,0.61,-0.523,336316.0,-2.09
thrive,0.78,0.68,0.48,0.5,0.5,N/A,N/A,0.68,1.0,-1.0,0.0,-100.0
crowdcoinage,0.8,0.72,0.7,0.7,0.5,0.76,0.74,0.6,0.03,-1.0,0.0,-100.0
sureremit,0.96,0.66,0.78,0.5,0.5,0.82,N/A,N/A,1.0,0.833,35294.0,0.281
tokenomy,0.64,0.52,0.54,0.5,0.5,0.82,N/A,0.66,0.91,1.033,2372070.0,-2.147
uservice,0.62,0.48,0.56,0.5,0.7,N/A,N/A,0.62,0.08,-1.0,0.0,-100.0
bankera,0.88,0.76,0.78,0.9,0.3,0.84,N/A,0.66,1.0,-0.481,2604320.0,-3.163
crypterium,0.86,0.74,0.74,0.7,0.5,0.94,N/A,N/A,1.0,0.54,183715.0,-0.737
lucyd,0.86,0.72,0.72,0.5,0.5,N/A,0.87,N/A,0.61,-1.0,0.0,-100.0
