ico_name,date,year,website,age_months,age_days,country,industry,hardcap,money_raised,pct_complete,sol_pct_complete,hardcap_reached,token_prx,followers,team_size,cum_years_experience,accredited_advisors,media_mentions,listing_prx,token_prx_1m,token_prx_3m,token_prx,log_rets_1m,log_rets_3m,log_rets
Starta,07/04/2017,17,https://startaico.com/,,181,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
CrypViser,07/04/2017,17,https://ico.crypviser.net/,,181,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Rialto.AI,07/03/2017,17,https://www.rialto.ai/,,182,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
EncryptoTel,07/01/2017,17,https://encryptotel.com/,,184,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
AdEx,6/30/2017,17,https://www.adex.network/,,185,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BlockPool,6/30/2017,17,https://blockpool.io,,185,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
DCORP,6/29/2017,17,https://www.dcorp.it/crowdsale,,186,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Air,6/29/2017,17,https://tokeninvestor.com/crowdfunding/air,,186,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
21 Million,6/28/2017,17,https://www.21million.co.uk/,,187,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
SilverCoin,6/27/2017,17,https://silvercoin.io/,,188,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
iDice,6/26/2017,17,https://crowdsale.idice.io/,,189,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Octanox,6/26/2017,17,https://octanox.org/,,189,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Wagerr,6/25/2017,17,https://wagerr.com/,,190,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
CryptoPing,6/25/2017,17,https://cryptoping.tech/,,190,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
NVO,6/25/2017,17,https://nvo.io/,,190,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
TenX,6/24/2017,17,https://www.tenx.tech/,,191,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
MaskNetwork,6/24/2017,17,http://masknetwork.com/,,191,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
OmiseGO,6/23/2017,17,https://omg.omise.co/,,192,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
FootballCoin,6/23/2017,17,https://www.xfccoin.io/,,192,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Civic,6/22/2017,17,https://www.civic.com/,,193,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Status,6/21/2017,17,https://status.im/,,194,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Internet of Coins,6/21/2017,17,https://coinstorm.net/en,,194,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Monaco,6/18/2017,17,https://mona.co/,,197,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BidLend,6/14/2017,17,http://www.bidlend.io/,,201,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Minexcoin,6/13/2017,17,https://minexcoin.com/,,202,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
SuperDAO,6/13/2017,17,http://www.superdao.io/,,202,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
